Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename,UOM
,ORANGE,,5962.5,0,,0,0,Y,0,0,0,0,,Pcs
,ROSE PINK,,5962.5,0,,0,0,Y,0,0,0,0,,Pcs
,CORAL GREEN,,5962.5,0,,0,0,Y,0,0,0,0,,Pcs
,TURKIS GREEN,,5962.5,0,,0,0,Y,0,0,0,0,,Pcs
,FOREST GREEN,,5962.5,0,,0,0,Y,0,0,0,0,,Pcs
,AQUA BLUE,,5962.5,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,7950,0,,0,0,Y,0,0,0,0,,Pcs
,ORANGE,,7950,0,,0,0,Y,0,0,0,0,,Pcs
,ROSE PINK,,7950,0,,0,0,Y,0,0,0,0,,Pcs
,CORAL GREEN,,7950,0,,0,0,Y,0,0,0,0,,Pcs
,TURKIS GREEN,,7950,0,,0,0,Y,0,0,0,0,,Pcs
,FOREST GREEN,,7950,0,,0,0,Y,0,0,0,0,,Pcs
,AQUA BLUE,,7950,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,11925,0,,0,0,Y,0,0,0,0,,Pcs
,BLUE,,4175,0,,0,0,Y,0,0,0,0,,Pcs
,ORANGE,,4175,0,,0,0,Y,0,0,0,0,,Pcs
,GREY,,4175,0,,0,0,Y,0,0,0,0,,Pcs
,PINK,,4175,0,,0,0,Y,0,0,0,0,,Pcs
,GREEN,,4175,0,,0,0,Y,0,0,0,0,,Pcs
,BLUE,,6262.5,0,,0,0,Y,0,0,0,0,,Pcs
,ORANGE,,6262.5,0,,0,0,Y,0,0,0,0,,Pcs
,GREY,,6262.5,0,,0,0,Y,0,0,0,0,,Pcs
,PINK,,6262.5,0,,0,0,Y,0,0,0,0,,Pcs
,GREEN,,6262.5,0,,0,0,Y,0,0,0,0,,Pcs
,BLUE,,8350,0,,0,0,Y,0,0,0,0,,Pcs
,ORANGE,,8350,0,,0,0,Y,0,0,0,0,,Pcs
,GREY,,8350,0,,0,0,Y,0,0,0,0,,Pcs
,PINK,,8350,0,,0,0,Y,0,0,0,0,,Pcs
,GREEN,,8350,0,,0,0,Y,0,0,0,0,,Pcs
,BLUE,,8625,0,,0,0,Y,0,0,0,0,,Pcs
,ORANGE,,8625,0,,0,0,Y,0,0,0,0,,Pcs
,GREY,,8625,0,,0,0,Y,0,0,0,0,,Pcs
,PINK,,8625,0,,0,0,Y,0,0,0,0,,Pcs
,GREEN,,8625,0,,0,0,Y,0,0,0,0,,Pcs
,BLUE,,11500,0,,0,0,Y,0,0,0,0,,Pcs
,ORANGE,,11500,0,,0,0,Y,0,0,0,0,,Pcs
,GREY,,11500,0,,0,0,Y,0,0,0,0,,Pcs
,PINK,,11500,0,,0,0,Y,0,0,0,0,,Pcs
,GREEN,,11500,0,,0,0,Y,0,0,0,0,,Pcs
,NATURAL COLOUR,,1790,0,,0,0,Y,0,0,0,0,,Pcs
,NATURAL COLOUR,,2550,0,,0,0,Y,0,0,0,0,,Pcs
,NATURAL COLOUR,,3776.25,0,,0,0,Y,0,0,0,0,,Pcs
