Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight
146,14000090,STAR ANTIRUST CEMENT  TRADE,CEMENT,,,,N,N,,MT,BAGS,0.05,,,,,,,,,,,,,,
146,14000087,STAR CEMENT PPC TRADE,CEMENT,,,,N,N,,MT,BAGS,0.05,,,,,,,,,,,,,,
146,14000156,STAR CEMENT ADSTAR TRADE,CEMENT,,,,N,N,,MT,BAGS,0.05,,,,,,,,,,,,,,
