Customer Code,Customer name ,April,April Achv.,May,May Achv.,June,June Achv.,July,July Achv.,August,August Achv.,September,September Achv.,October,October Achv new,November,November Achv.,December,December Achv.,January,January Achv.,February,February Achv.,March,March Achv.
A044,ASSAM STORES…,2000,2673.5,2000,2423,1300,1447.5,1300,1849.9,1300,1418.8,1300,1509.15,1300,1286.5,1700,0,1850,0,2200,0,2200,0,2500,0
A045,ASSAM TRADERS….,60,35.5,60,47,50,21,50,29.5,50,20,50,12,50,26,60,0,60,0,70,0,60,0,70,0
