Destination Code,Destination Name,ex_for_type
DES03965,KOPAI (EX-SAITHIA),EX
DES03964,KIRNAHAR (EX-SAITHIA),EX
DES03963,KHUJUTIPARA (EX-SAITHIA),EX
DES03962,KHOYRASOLE (EX-SAITHIA),EX
DES03961,KASBA (EX-SAITHIA),EX
DES03960,KARRIDHYA 9EX-SAITHIA),EX
DES03959,KAMARGHAT (EX-SAITHIA),EX
DES03958,KALYANPUR (EX-SAITHIA),EX
DES03957,KALLESWAR MORE (EX-SAITHIA),EX
DES03956,KAITHA (EX-SAITHIA),EX
DES03955,JOYDEV MORE (EX-SAITHIA),EX
DES03954,JOYDEV (EX-SAITHIA),EX
DES03953,JHILLY (EX-SAITHIA),EX
DES03952,JAZIGRAM (EX-SAITHIA),EX
DES03951,ITAGARIA (EX-SAITHIA),EX
DES03950,ILLAMBAZAR (EX-SAITHIA),EX
DES03949,HIYATNAGAR (EX-SAITHIA),EX
DES03948,HETAMPUR (EX-SAITHIA0,EX
DES03947,HAZIPUR (EX-SAITHIA),EX
DES03946,HAZARATHPUR (EX-SAITHIA),EX
DES03945,HASAN MORE (EX-SAITHIA),EX
DES03944,GANPUR (EX-SAITHIA),EX
DES03943,GANDHPUR (EX-SAITHIA),EX
DES03942,GADHADHARPUR (EX-SAITHIA),EX
DES03941,FEWGRAM (EX-SAITHIA),EX
DES03940,FATEPUR (EX-SAITHIA),EX
DES03939,DUBRAJPUR (EX-SAITHIA),EX
DES03938,CHOWHATTA (EX-SAITHIA),EX
DES03937,CHINPAI (EX-SAITHIA),EX
DES03936,CHATRA (EX-SAITHIA),EX
DES03935,CHARKALGRAM (EX-SAITHIA),EX
DES03934,BUDHIGRAM (EX-SAITHIA),EX
DES03933,BOLPUR (EX-SAITHIA),EX
DES03932,BISHNUPUR (EX-SAITHIA),EX
DES03931,BIRCHANDRAPUR (EX-SAITHIA0,EX
DES03930,BIPRATIKURI (EX-SAITHIA),EX
DES03929,BHIMGARH (EX-SAITHIA),EX
DES03928,BHAVANIPUR (EX-SAITHIA),EX
DES03927,BEZRA (EX-SAITHIA),EX
DES03926,BELUTI (EX-SAITHIA),EX
DES03925,BATIKAR 9EX-SAITHIA),EX
DES03924,BATASPUR (EX-SAITHIA),EX
DES03923,BASIC MORE (EX-SAITHIA),EX
DES03922,BASAPARA (EX-SAITHIA),EX
DES03921,BARPAHARI (EX-SAITHIA),EX
DES03920,BANGACHATRA (EX-SAITHIA),EX
DES03919,BANDRA (EX-SAITHIA),EX
DES03918,BANDHKHALA (EX-SAITHIA),EX
DES03917,BALLVPUR (EX-SAITHIA),EX
DES03916,BALIA (EX-SAITHIA),EX
DES03915,BAKUL (EX-SAITHIA),EX
DES03914,BAKTORE (EX-SAITHIA),EX
DES03913,BAHUTAL (EX-SAITHIA),EX
DES03912,BAHIRI (EX-SAITHIA),EX
DES03911,BAGDANGA (EX-SAITHIA),EX
DES03910,BAGDAHARI (EX-SAITHIA),EX
DES03909,BABUIJORE (EX-SAITHIA),EX
DES03908,B.T.I COLLEGE (EX-SAITHIA),EX
DES03907,ATKULA (EX-SAITHIA),EX
DES03906,ANGARGORIA (EX-SAITHIA),EX
DES03905,AMUDDYA (EX-SAITHIA),EX
DES03904,AMAIPUR (EX-SAITHIA),EX
DES03903,ALIGARARH (EX-SAITHIA),EX
DES03902,AKHIRA (EX-SAITHIA),EX
DES03901,AKUPURCHATI (EX-SAITHIA),EX
DES03900,AHAMEDPUR (EX- SAITHIA),EX
DES03899,ABHINASHPUR (EX-SAITHIA),EX
DES03898,ABHADANGA (EX-SAITHIA),EX
DES03897,ABDULPUR (EX-SAITHIA),EX
DES03896,ABDARPUR (EX-SAITHIA),EX
DES03895,ABAD (EX-SAITHIA),EX
DES03894,VIP (EX- COSPR),EX
DES03893,SODEPUR (EX- COSPR 2),FOR
DES03892,SHYAMNAGAR (EX- COSPR 2),FOR
DES03891,BARASAT (EX- COSPR 2),FOR
DES03890,SODEPUR (EX- COSPR 1),FOR
DES03889,SHYAMNAGAR (EX- COSPR 1),FOR
DES03888,BARASAT (EX- COSPR 1),FOR
DES03887,ULTADANGA (EX- COSPR),EX
DES03886,TOPSIA (EX- COSPR),EX
DES03885,TITAGARH (EX- COSPR),EX
DES03884,THAKURNAGAR (EX- COSPR),EX
DES03883,TENTULIA (EX- COSPR),EX
DES03882,TEGHARIA (EX- COSPR),EX
DES03881,TANGRA (EX- COSPR),EX
DES03880,SWARUPNAGAR (EX- COSPR),EX
DES03879,SONEPUR (EX- COSPR),EX
DES03878,SHYAM BAZAR (EX- COSPR),EX
DES03877,SHRIRAMPUR (EX- COSPR),EX
DES03876,SHAKSAHARPUKUR (EX- COSPR),EX
DES03875,SALT LAKE (EX- COSPR),EX
DES03874,RAJARHAT NEW TOWN (EX- COSPR),EX
DES03873,RAJARHAT (EX- COSPR),EX
DES03872,POSTA (EX- COSPR),EX
DES03871,POLARHAT (EX- COSPR),EX
DES03870,PANIHATI (EX- COSPR),EX
DES03869,PAKAPOLE (EX- COSPR),EX
DES03868,NIMTA (EX- COSPR),EX
DES03867,NAZZAT (EX- COSPR),EX
DES03866,NAIHATI (EX- COSPR),EX
DES03865,NAGERBAZAR (EX- COSPR),EX
DES03864,MATIA (EX- COSPR),EX
DES03863,MASLANDPUR (EX- COSPR),EX
DES03862,MANIKTOLLA (EX- COSPR),EX
DES03861,MALANCHA (EX- COSPR),EX
DES03860,MADHYAMGRAM (EX- COSPR),EX
DES03859,LAUHATI (EX- COSPR),EX
DES03858,LAKE TOWN (EX- COSPR),EX
DES03857,KUMARTULLY (EX- COSPR),EX
DES03856,KOLKATA NO ENTRY (EX- COSPR),EX
DES03855,KHOLAPOTA (EX- COSPR),EX
DES03854,KHARDAH (EX- COSPR),EX
DES03853,KATIAHAT (EX- COSPR),EX
DES03852,KANKURGACHI (EX- COSPR),EX
DES03851,KANCHRAPARA (EX- COSPR),EX
DES03850,KALYANI (EX- COSPR),EX
DES03849,KAKINARA (EX- COSPR),EX
DES03848,ICHAPUR (EX- COSPR),EX
DES03847,HOWRAH (EX- COSPR),EX
DES03846,HASNABAD (EX- COSPR),EX
DES03845,HINGALGUNJ (EX- COSPR),EX
DES03844,HAROA (EX- COSPR),EX
DES03843,HALISAHAR (EX- COSPR),EX
DES03842,HABRA (EX- COSPR),EX
DES03841,GUMA (EX- COSPR),EX
DES03840,GOPALNAGAR (EX- COSPR),EX
DES03839,GOLABARI (EX- COSPR),EX
DES03838,GOBORDANGA (EX- COSPR),EX
DES03837,GHATAKPUKUR (EX- COSPR),EX
DES03836,GAIGHATA (EX- COSPR),EX
DES03835,DUTTAPUKUR (EX- COSPR),EX
DES03834,DUNLOP (EX- COSPR),EX
DES03833,DUM DUM STATION (EX- COSPR),EX
DES03832,DHANPOTA (EX- COSPR),EX
DES03831,DEGANGA (EX- COSPR),EX
DES03830,COSSIPORE RAIL YARD DUMP,EX
DES03829,COSSIPORE DUMP,EX
DES03828,CHITPUR (EX- COSPR),EX
DES03827,CHANDPARA (EX- COSPR),EX
DES03826,CHAITALGHAT (EX- COSPR),EX
DES03825,BIRATI (EX- COSPR),EX
DES03824,BIRA (EX- COSPR),EX
DES03823,BHANGAR (EX- COSPR),EX
DES03822,BERACHAMPA (EX- COSPR),EX
DES03821,BELGHARIA (EX- COSPR),EX
DES03820,BELEGHATA-TAKI ROAD (EX- COSP),EX
DES03819,BELEGHATA-KOLKATA (EX- COSPR),EX
DES03818,BASIRHAT (EX- COSPR),EX
DES03817,BASANTI (EX- COSPR),EX
DES03816,BARRACKPORE (EX- COSPR),EX
DES03815,BARANAGAR (EX- COSPR),EX
DES03814,BANTALA (EX- COSPR),EX
DES03813,BANGUR (EX- COSPR),EX
DES03812,BANGAON (EX- COSPR),EX
DES03811,BAMANGACHI (EX- COSPR),EX
DES03810,BALLYGUNGE (EX- COSPR),EX
DES03809,BAGUIATI (EX- COSPR),EX
DES03808,BAGJOLA (EX- COSPR),EX
DES03807,BAGH BAZAR (EX- COSPR),EX
DES03806,BADURIA (EX- COSPR),EX
DES03805,AWALSIDDHI (EX- COSPR),EX
DES03804,ASHOKNAGAR (EX- COSPR),EX
DES03803,AMDANGA (EX- COSPR),EX
DES03802,AIRPORT (EX- COSPR),EX
DES03801,AGARPARA (EX- COSPR),EX
DES03800,AFRAD EX SIWAN,EX
DES03799,TARWARA EX SIWAN,EX
DES03798,GORIAKHOTHI EX SIWAN,EX
DES03797,JAGDESHPUR EX SIWAN,EX
DES03796,MADHOPUR EX SIWAN,EX
DES03795,JAMO EX SIWAN,EX
DES03794,BARHARIA EX SIWAN,EX
DES03793,LAGDHI EX SIWAN,EX
DES03792,SAIDPUR EX SIWAN,EX
DES03791,KHWASHPUR EX SIWAN,EX
DES03790,MUSEHRI EX SIWAN,EX
DES03789,DUMARI EX SIWAN,EX
DES03788,CHITAULI EX SIWAN,EX
DES03787,MADARPUR EX SIWAN,EX
DES03786,BASANTPUR EX SIWAN,EX
DES03785,BHAGWANPUR EX SIWAN,EX
DES03784,MAGHARI EX SIWAN,EX
DES03783,MORA EX SIWAN,EX
DES03782,PATEDHA EX SIWAN,EX
DES03781,AKASHI MOD EX SIWAN,EX
DES03780,TAKKIPUR EX SIWAN,EX
DES03779,MAHRAJGANJ EX SIWAN,FOR
DES03778,DURAUDHA EX SIWAN,EX
DES03777,MAHRAJGANJ EX SIWAN,EX
DES03776,PACHRUKHI EX SIWAN,EX
DES03775,ASAW EX SIWAN,EX
DES03774,TIYAY EX SIWAN,EX
DES03773,ANDER EX SIWAN,EX
DES03772,PATAR EX SIWAN,EX
DES03771,NAUTAN EX SIWAN,FOR
DES03770,MURARPATTI EX SIWAN,EX
DES03769,CHAKRI EX SIWAN,EX
DES03768,RAGHUNATHPUR EX SIWAN,EX
DES03767,TARI EX SIWAN,EX
DES03766,SISWAN EX SIWAN,EX
DES03765,CHAINPUR EX SIWAN,EX
DES03764,USRI  EX SIWAN,EX
DES03763,TEDHI GATH EX SIWAN,EX
DES03762,HUSSAINGANJ EX SIWAN,EX
DES03761,HASANPURA EX SIWAN,EX
DES03760,GOPALPUR EX SIWAN,EX
DES03759,GUTHNI EX SIWAN,EX
DES03758,DARAULI EX SIWAN,EX
DES03757,KANHAULI EX SIWAN,EX
DES03756,MAIRWA EX SIWAN,FOR
DES03755,NAUTAN EX SIWAN,EX
DES03754,MAIRWA EX SIWAN,EX
DES03753,TITRA EX SIWAN,EX
DES03752,SARAWE EX SIWAN,EX
DES03751,SIWAN EX SIWAN,EX
DES03750,AMLORI SARSAR EX SIWAN,EX
DES03749,GOPLAPUR EX SIWAN,EX
DES03748,SHAMPUR EX SIWAN,EX
DES03747,SHIVPUR SAKRA EX SIWAN,EX
DES03746,JAMAPUR EX SIWAN,EX
DES03745,BHRTHUI EX SIWAN,EX
DES03744,ZIRADEI EX SIWAN,EX
DES03743,WAZIDPUR (EX SAMASTIPUR),EX
DES03742,WARIS NAGAR (EX SAMASTIPUR),EX
DES03741,WAINI (EX SAMASTIPUR),EX
DES03740,UZIYARPUR (EX SAMASTIPUR),EX
DES03739,TARA CHOWK (EX SAMASTIPUR),EX
DES03738,TAJPUR (EX SAMASTIPUR),EX
DES03737,SUZAWALPUR (EX SAMASTIPUR),EX
DES03736,SOHARWA GHAT (EX SAMASTIPUR),EX
DES03735,SINGHIA GHAT (EX SAMASTIPUR),EX
DES03734,SIHMA (EX SAMASTIPUR),EX
DES03733,SATMALPUR (EX SAMASTIPUR),EX
DES03732,SATI GHAT (EX SAMASTIPUR),EX
DES03731,SATANPUR (EX SAMASTIPUR),EX
DES03730,SARI (EX SAMASTIPUR),EX
DES03729,SARAY RANJAN (EX SAMASTIPUR),EX
DES03728,SARAIYA PUL (EX SAMASTIPUR),EX
DES03727,SAMASTIPUR LOCAL (EX SAMASTIPUR),EX
DES03726,SAMARTHA KALYANPUR (EX SAMASTIPUR),EX
DES03725,SAIDPUR (EX SAMASTIPUR),EX
DES03724,ROSERA (EX SAMASTIPUR),EX
DES03723,RAHUA (EX SAMASTIPUR),EX
DES03722,PUSA (EX SAMASTIPUR),EX
DES03721,PHULHARA (EX SAMASTIPUR),EX
DES03720,PATTHAR GHAT (EX SAMASTIPUR),EX
DES03719,PATPARA (EX SAMASTIPUR),EX
DES03718,PATORI (EX SAMASTIPUR),EX
DES03717,PATAILI (EX SAMASTIPUR),EX
DES03716,NATTHU DWAR (EX SAMASTIPUR),EX
DES03715,NARHAN (EX SAMASTIPUR),EX
DES03714,NAGAR BASTI (EX SAMASTIPUR),EX
DES03713,MUSTAFAPUR (EX SAMASTIPUR),EX
DES03712,MUSARI GHARARI (EX SAMASTIPUR),EX
DES03711,MUKTAPUR (EX SAMASTIPUR),EX
DES03710,MORWA (EX SAMASTIPUR),EX
DES03709,MOHADDINAGAR (EX SAMASTIPUR),EX
DES03708,MAU BAJAR (EX SAMASTIPUR),EX
DES03707,MALI NAGAR (EX SAMASTIPUR),EX
DES03706,MAHE SINGHIA (EX SAMASTIPUR),EX
DES03705,MADUDABAD (EX SAMASTIPUR),EX
DES03704,KUSHIYARI (EX SAMASTIPUR),EX
DES03703,KUSHESHWAR STHAN (EX SAMASTIPUR),EX
DES03702,KOTHIA PATEPUR (EX SAMASTIPUR),EX
DES03701,KISHANPUR (EX SAMASTIPUR),EX
DES03700,KHOKSAHA (EX SAMASTIPUR),EX
DES03699,KHANPUR (EX SAMASTIPUR),EX
DES03698,KHAJURI (EX SAMASTIPUR),EX
DES03697,KALYANPUR (EX SAMASTIPUR),EX
DES03696,JHAKHRA (EX SAMASTIPUR),EX
DES03695,JATAMALPUR (EX SAMASTIPUR),EX
DES03694,ILMAS NAGAR (EX SAMASTIPUR),EX
DES03693,HATHAURI KOTHI (EX SAMASTIPUR),EX
DES03692,HASANPUR (EX SAMASTIPUR),EX
DES03691,HARPUR ALAUTH (EX SAMASTIPUR),EX
DES03690,GUDAR GHAT (EX SAMASTIPUR),EX
DES03689,GAWPUR (EX SAMASTIPUR),EX
DES03688,GANGAPUR NH (EX SAMASTIPUR),EX
DES03687,GANGAPUR (EX SAMASTIPUR),EX
DES03686,DUDHPURA (EX SAMASTIPUR),EX
DES03685,DUBAHA (EX SAMASTIPUR),EX
DES03684,DIHULI (EX SAMASTIPUR),EX
DES03683,DHOLI (EX SAMASTIPUR),EX
DES03682,DALSINGSARAI (EX SAMASTIPUR),EX
DES03681,CHIKNAUTA (EX SAMASTIPUR),EX
DES03680,CHAKBAKHAR (EX SAMASTIPUR),EX
DES03679,CHAK VALLY (EX SAMASTIPUR),EX
DES03678,CHAK SAHO (EX SAMASTIPUR),EX
DES03677,CHAK MAISI (EX SAMASTIPUR),EX
DES03676,CHAK LALSI (EX SAMASTIPUR),EX
DES03675,CHAITA (EX SAMASTIPUR),EX
DES03674,BITHAN (EX SAMASTIPUR),EX
DES03673,BISHANPUR (EX SAMASTIPUR),EX
DES03672,BIRSINGPUR (EX SAMASTIPUR),EX
DES03671,BIRAULI (EX SAMASTIPUR),EX
DES03670,BIKRAMPUR BANDE (EX SAMASTIPUR),EX
DES03669,BIDYAPATINAGAR (EX SAMASTIPUR),EX
DES03668,BIBHUTIPUR (EX SAMASTIPUR),EX
DES03667,BHUSKAUL CHOWK (EX SAMASTIPUR),EX
DES03666,BHIRHA (EX SAMASTIPUR),EX
DES03665,BHATTI CHOWK (EX SAMASTIPUR),EX
DES03664,BHAGWATPUR (EX SAMASTIPUR),EX
DES03663,BERA CHOWK (EX SAMASTIPUR),EX
DES03662,BELSANDI TARA (EX SAMASTIPUR),EX
DES03661,BELSANDI (EX SAMASTIPUR),EX
DES03660,BELARI (EX SAMASTIPUR),EX
DES03659,BELA (EX SAMASTIPUR),EX
DES03658,BASARIA CHOWK (EX SAMASTIPUR),EX
DES03657,BARIATA (EX SAMASTIPUR),EX
DES03656,BANGRA (EX SAMASTIPUR),EX
DES03655,BANDA (EX SAMASTIPUR),EX
DES03654,BALLIPUR (EX SAMASTIPUR),EX
DES03653,BAIRAMPUR (EX SAMASTIPUR),EX
DES03652,BAHUARA (EX SAMASTIPUR),EX
DES03651,BAGOPUR BALHA (EX SAMASTIPUR),EX
DES03650,ANGAR GHAT (EX SAMASTIPUR),EX
DES03649,SHOBHANI EX KHAGARIA,EX
DES03648,PIPRA EX KHAGARIA,EX
DES03647,PASRAHA EX KHAGARIA,EX
DES03646,PARBATTA EX KHAGARIA,EX
DES03645,PANCHBIR EX KHAGARIA,EX
DES03644,MARAR EX KHAGARIA,EX
DES03643,MARAIA EX KHAGARIA,EX
DES03642,MANSI EX KHAGARIA,EX
DES03641,MAHESHKHUT EX KHAGARIA,EX
DES03640,KURHA  EX KHAGARIA,EX
DES03639,KULHARIA EX KHAGARIA,EX
DES03638,KHAGARIA LOCAL EX KHAGARIA,EX
DES03637,JAMALPUR EX KHAGARIA,EX
DES03636,JALKORA EX KHAGARIA,EX
DES03635,HARIPUR EX KHAGARIA,EX
DES03634,GOGRI EX KHAGARIA,EX
DES03633,GOCHHARI EX KHAGARIA,EX
DES03632,ELAS EX KHAGARIA,EX
DES03631,CHAUTHAM EX KHAGARIA,EX
DES03630,BISHANPUR EX KHAGARIA,EX
DES03629,BHADAS EX KHAGARIA,EX
DES03628,BELDAUR EX KHAGARIA,EX
DES03627,BELA EX KHAGARIA,EX
DES03626,BANDHERA EX KHAGARIA,EX
DES03625,ALAULI EX KHAGARIA,EX
DES03624,MASHRAKH EX CHAPRA,FOR
DES03623,LAHLADPUR EX CHAPRA,FOR
DES03622,JANTA BAZAR EX CHAPRA,FOR
DES03621,KESHRI BAZAR EX CHAPRA,FOR
DES03620,SONEPUR EX CHAPRA,FOR
DES03619,HARPUR EX CHAPRA,FOR
DES03618,BHAGWANPUR EX CHAPRA,FOR
DES03617,SHAHAJEETPUR EX CHAPRA,FOR
DES03616,DHOWAL EX CHAPRA,FOR
DES03615,KAMATA BAZAR EX CHAPRA,FOR
DES03614,PACHRAUL EX CHAPRA,FOR
DES03613,SHATJODA EX CHAPRA,FOR
DES03612,PANAPUR EX CHAPRA,FOR
DES03611,TARAYYA EX CHAPRA,FOR
DES03610,KOHRA BAZAR EX CHAPRA,FOR
DES03609,DHAUDPUR EX CHAPRA,FOR
DES03608,KOPA EX CHAPRA,FOR
DES03607,PARASAGAD EX CHAPRA,FOR
DES03606,EKMA EX CHAPRA,FOR
DES03605,RASULPUR EX CHAPRA,FOR
DES03604,KHADANA EX CHAPRA,FOR
DES03603,MATIHAN CHOWK EX CHAPRA,FOR
DES03602,MURAPULL EX CHAPRA,FOR
DES03601,GARKHA EX CHAPRA,FOR
DES03600,BASANT EX CHAPRA,FOR
DES03599,CHINTABANGANJ EX CHAPRA,FOR
DES03598,REVAGHAT EX CHAPRA,FOR
DES03597,MAKER EX CHAPRA,FOR
DES03596,DHARIYAPUR EX CHAPRA,FOR
DES03595,POUCHI PARSA EX CHAPRA,FOR
DES03594,BELA EX CHAPRA,FOR
DES03593,NAYAGOAN EX CHAPRA,FOR
DES03592,SHITALPUR EX CHAPRA,FOR
DES03591,KHANPUR EX CHAPRA,FOR
DES03590,DIGHWARA EX CHAPRA,FOR
DES03589,AMI EX CHAPRA,FOR
DES03588,DHANOURA EX CHAPRA,FOR
DES03587,MUSHAPUR EX CHAPRA,FOR
DES03586,DORIGANJ EX CHAPRA,FOR
DES03585,VISHUNPURA EX CHAPRA,FOR
DES03584,SHIMARIYA EX CHAPRA,FOR
DES03583,BANYAPUR EX CHAPRA,FOR
DES03582,TAJPUR EX CHAPRA,FOR
DES03581,SHITALPUR BARAIJA EX CHAPRA,FOR
DES03580,NARPALIYA EX CHAPRA,FOR
DES03579,MANJHI EX CHAPRA,FOR
DES03578,REVILGANJ EX CHAPRA,FOR
DES03577,AMNOUR EX CHAPRA,FOR
DES03576,MADHORA EX CHAPRA,FOR
DES03575,CHAPRA DUMP,FOR
DES03574,KHODHIBAGH EX CHAPRA,FOR
DES03573,PATHRA EX CHAPRA,FOR
DES03572,KHAIRA EX CHAPRA,FOR
DES03571,CHANCHAURA EX CHAPRA,FOR
DES03570,PATNA EX DANAPUR,EX
DES03569,JAMALPUR EX DANAPUR,EX
DES03568,KOILWAR EX DANAPUR,EX
DES03567,ARRAH EX DANAPUR,EX
DES03566,JANIPUR EX DANAPUR,EX
DES03565,PHULWARI EX DANAPUR,EX
DES03564,PALIGANJ EX DANAPUR,EX
DES03563,NAUBATPUR EX DANAPUR,EX
DES03562,SHERPUR EX DANAPUR,EX
DES03561,MANER EX DANAPUR,EX
DES03560,DULHIN BAZAR EX DANAPUR,EX
DES03559,DIGHA EX DANAPUR,EX
DES03558,GOLA ROAD EX DANAPUR,EX
DES03557,SAGUNA MORE EX DANAPUR,EX
DES03556,KHAGAUL  EX DANAPUR,EX
DES03555,SHAHPUR EX DANAPUR,EX
DES03554,USARI EX DANAPUR,EX
DES03553,NEORA EX DANAPUR,EX
DES03552,DANAPUR EX DANAPUR,EX
DES03551,BIKRAM EX DANAPUR,EX
DES03550,BIHTA EX DANAPUR,EX
DES03549,NIRMALLI (EX DARBHANGA),FOR
DES03548,KASMAMDAR (EX DARBHANGA),FOR
DES03547,RAGHEPUR (ARER) (EX DARBHANGA),FOR
DES03546,YADUPATTI (EX DARBHANGA),FOR
DES03545,UTARA (EX DARBHANGA),FOR
DES03544,UMGAON (EX DARBHANGA),FOR
DES03543,TENUAVAHI (EX DARBHANGA),FOR
DES03542,TUMURIA (EX DARBHANGA),FOR
DES03541,SISWAAR (EX DARBHANGA),FOR
DES03540,"SGAPATTI,PHULPARAS (EX DARBHANGA)",FOR
DES03539,SARSOPAAHI (EX DARBHANGA),FOR
DES03538,SAKRI (EX DARBHANGA),FOR
DES03537,SAHARGHAT (EX DARBHANGA),FOR
DES03536,RUPAULI (EX DARBHANGA),FOR
DES03535,RAIYYAM (EX DARBHANGA),FOR
DES03534,RAMPATTI (EX DARBHANGA),FOR
DES03533,RAJNAGAR (EX DARBHANGA),FOR
DES03532,RAHUVA CHOWK (EX DARBHANGA),FOR
DES03531,RAHIKA (EX DARBHANGA),FOR
DES03530,PIRHI (EX DARBHANGA),FOR
DES03529,"PHUTANI CHOWK,JHANJHARPUR (EX DARBHANGA)",FOR
DES03528,PHULPARAS (EX DARBHANGA),FOR
DES03527,PHULKANHI (EX DARBHANGA),FOR
DES03526,PHULHARA (EX DARBHANGA),FOR
DES03525,PARSAAHI (EX DARBHANGA),FOR
DES03524,PANDAUL (EX DARBHANGA),FOR
DES03523,PAITHGHAT (EX DARBHANGA),FOR
DES03522,PAIGAMBARPUR (EX DARBHANGA),FOR
DES03521,PADMA (EX DARBHANGA),FOR
DES03520,NARAAR (EX DARBHANGA),FOR
DES03519,NARUAAR (EX DARBHANGA),FOR
DES03518,NARAUR (EX DARBHANGA),FOR
DES03517,MANMOHAN (EX DARBHANGA),FOR
DES03516,MAHRAIL (EX DARBHANGA),FOR
DES03515,MAHINATHPUR (EX DARBHANGA),FOR
DES03514,MAHADEV MATH (EX DARBHANGA),FOR
DES03513,MADHWAPUR (EX DARBHANGA),FOR
DES03512,MADHUBANI (EX DARBHANGA),FOR
DES03511,MADHEPUR (EX DARBHANGA),FOR
DES03510,LAUKAHA (EX DARBHANGA),FOR
DES03509,LAUFA (EX DARBHANGA),FOR
DES03508,LOHATMEEL (EX DARBHANGA),FOR
DES03507,LOHA KAPSIYA (EX DARBHANGA),FOR
DES03506,LAUKAHI (EX DARBHANGA),FOR
DES03505,LAKHNAUR (EX DARBHANGA),FOR
DES03504,LADANIA (EX DARBHANGA),FOR
DES03503,KUNHAULI BORDER (EX DARBHANGA),FOR
DES03502,KISHNIPATTI ZERO MILE (EX DARBHANGA),FOR
DES03501,KISHNIPATTI PARSA CHOWK(EX DARBHANGA),FOR
DES03500,KHUTAUNA (EX DARBHANGA),FOR
DES03499,KHOPA (EX DARBHANGA),FOR
DES03498,KHAJAULI (EX DARBHANGA),FOR
DES03497,KEOTI (EX DARBHANGA),FOR
DES03496,KARMAULI (EX DARBHANGA),FOR
DES03495,KALUAHI (EX DARBHANGA),FOR
DES03494,KAKRAUL (EX DARBHANGA),FOR
DES03493,JHANJHARPUR (EX DARBHANGA),FOR
DES03492,JAINAGAR (EX DARBHANGA),FOR
DES03491,HARLAAKHI (EX DARBHANGA),FOR
DES03490,HAJIPUR KHEERMA (EX DARBHANGA),FOR
DES03489,GOGHARDEEHA (EX DARBHANGA),FOR
DES03488,GHANGHAUR (EX DARBHANGA),FOR
DES03487,EKHATHHA (EX DARBHANGA),FOR
DES03486,EKDARA (EX DARBHANGA),FOR
DES03485,DULLAPATTI (EX DARBHANGA),FOR
DES03484,DOOMBH (EX DARBHANGA),FOR
DES03483,DHAKJHARI (EX DARBHANGA),FOR
DES03482,CHUNAURAGANJ (EX DARBHANGA),FOR
DES03481,CHHATVAN (EX DARBHANGA),FOR
DES03480,BAIRAMPUR (EX DARBHANGA),FOR
DES03479,BRAHMPUR PHOOLPARAS) (EX DARBHANGA),FOR
DES03478,BISHAULI (EX DARBHANGA),FOR
DES03477,VIDESHWAR ASTHAN (EX DARBHANGA),FOR
DES03476,BHOOPATTI (EX DARBHANGA),FOR
DES03475,BHEJA (EX DARBHANGA),FOR
DES03474,BHAIRAV ASTHAN (EX DARBHANGA),FOR
DES03473,BHAGWATIPUR (EX DARBHANGA),FOR
DES03472,BHAGWANPUR (EX DARBHANGA),FOR
DES03471,BERCHOWK (EX DARBHANGA),FOR
DES03470,BENIPATTI (EX DARBHANGA),FOR
DES03469,BELAUCHA (EX DARBHANGA),FOR
DES03468,BASOPATTI (EX DARBHANGA),FOR
DES03467,BASAITHA (EX DARBHANGA),FOR
DES03466,BABUBARHI (EX DARBHANGA),FOR
DES03465,ANDHRA MATHH (EX DARBHANGA),FOR
DES03464,ARER (EX DARBHANGA),FOR
DES03463,ARARIA (EX DARBHANGA),FOR
DES03462,ANDHRATHADHI (EX DARBHANGA),FOR
DES03461,EKMIGHAT-DARBHANGA (EX DARBHANGA),FOR
DES03460,TETUAAR (EX DARBHANGA),FOR
DES03459,SAKHWAR (MANIGACHHI) (EX DARBHANGA),FOR
DES03458,UJAAN (EX DARBHANGA),FOR
DES03457,UGHARA (EX DARBHANGA),FOR
DES03456,UCHCHAIT ASTHAN (EX DARBHANGA),FOR
DES03455,TECTAR (EX DARBHANGA),FOR
DES03454,TARSARAI (EX DARBHANGA),FOR
DES03453,SURHACHATTI (EX DARBHANGA),FOR
DES03452,SUPAUL (EX DARBHANGA),FOR
DES03451,SONKI (EX DARBHANGA),FOR
DES03450,SIGHWARA (EX DARBHANGA),FOR
DES03449,"SIMRI, BHOJPARAUL (EX DARBHANGA)",FOR
DES03448,"SIMRI, KANSI (EX DARBHANGA)",FOR
DES03447,SHIVRAM (EX DARBHANGA),FOR
DES03446,SHIVNAGARGHAT (EX DARBHANGA),FOR
DES03445,SHIVDHARA (EX DARBHANGA),FOR
DES03444,SHIVNAGAR (KAMTAUL) (EX DARBHANGA),FOR
DES03443,SATTIGHAT (EX DARBHANGA),FOR
DES03442,"SANAHPUR,BRAHMPUR (EX DARBHANGA)",FOR
DES03441,SAKATPUR (EX DARBHANGA),FOR
DES03440,SAHOPARRI (EX DARBHANGA),FOR
DES03439,RASIYAARI (EX DARBHANGA),FOR
DES03438,RAMAULI (EX DARBHANGA),FOR
DES03437,RAGHOPUR (EX DARBHANGA),FOR
DES03436,"PUNHAD,NAVTOL (EX DARBHANGA)",FOR
DES03435,POKHRAAM (EX DARBHANGA),FOR
DES03434,FEKLA (EX DARBHANGA),FOR
DES03433,FARDAHA (EX DARBHANGA),FOR
DES03432,HABIDEEH (EX DARBHANGA),FOR
DES03431,PAALI (EX DARBHANGA),FOR
