depot code ,destination code ,freight,acedns,date
A102,DES00290,,,
A102,DES00291,,,
A102,DES00292,,,
A102,DES00293,,,
A102,DES00294,,,
A102,DES00295,,,
A102,DES00296,,,
A102,DES00297,,,
A102,DES00298,,,
A102,DES00299,,,
A102,DES00300,,,
A102,DES00301,,,
A102,DES00302,,,
A102,DES00303,,,
A102,DES00304,,,
A102,DES00305,,,
A102,DES00306,,,
A102,DES00307,,,
A102,DES00308,,,
A102,DES00309,,,
A102,DES00310,,,
A102,DES00311,,,
A102,DES00312,,,
A102,DES00313,,,
A102,DES00314,,,
A102,DES00315,,,
A102,DES00316,,,
A102,DES00317,,,
A102,DES00318,,,
A102,DES00319,,,
A102,DES00320,,,
A102,DES00321,,,
A102,DES00322,,,
A102,DES00323,,,
A102,DES00324,,,
A102,DES00325,,,
A102,DES00326,,,
A102,DES00327,,,
A102,DES00328,,,
A102,DES00329,,,
A102,DES00330,,,
A102,DES00331,,,
A102,DES00332,,,
A102,DES00333,,,
A102,DES00334,,,
A102,DES00335,,,
A102,DES00336,,,
A102,DES00337,,,
A102,DES00338,,,
A102,DES00339,,,
A102,DES00340,,,
A102,DES00341,,,
A102,DES00342,,,
A102,DES00343,,,
A102,DES00344,,,
A102,DES00345,,,
A102,DES00346,,,
A102,DES00347,,,
A102,DES00348,,,
A102,DES00349,,,
A102,DES00350,,,
A102,DES00351,,,
A102,DES00352,,,
A102,DES00353,,,
A102,DES00354,,,
A102,DES00355,,,
A102,DES00356,,,
A102,DES00357,,,
A102,DES00358,,,
A102,DES00359,,,
A102,DES00360,,,
A102,DES00361,,,
A102,DES00362,,,
A102,DES00363,,,
A102,DES00364,,,
A102,DES00365,,,
A102,DES00366,,,
A102,DES00367,,,
A102,DES00368,,,
A102,DES00369,,,
A102,DES00370,,,
A102,DES00371,,,
A102,DES00372,,,
A102,DES00373,,,
A102,DES00374,,,
A102,DES00375,,,
A102,DES00376,,,
A102,DES00377,,,
A102,DES00378,,,
A102,DES00379,,,
A102,DES00380,,,
A102,DES00381,,,
A102,DES00382,,,
A102,DES00383,,,
A102,DES00384,,,
A102,DES00385,,,
A102,DES00386,,,
A102,DES00387,,,
A102,DES00388,,,
A102,DES00389,,,
A102,DES00390,,,
A102,DES00391,,,
A102,DES00392,,,
A102,DES00393,,,
A102,DES00394,,,
A102,DES00395,,,
A102,DES00396,,,
A102,DES00397,,,
A102,DES00398,,,
A102,DES00399,,,
A102,DES00400,,,
A102,DES00401,,,
A102,DES00402,,,
A102,DES00403,,,
A102,DES00404,,,
A102,DES00405,,,
A102,DES00406,,,
A102,DES00407,,,
A102,DES00408,,,
A102,DES00409,,,
A102,DES00410,,,
A102,DES00411,,,
A102,DES00412,,,
A102,DES00413,,,
A102,DES00414,,,
A102,DES00415,,,
