Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename,Prod Full Form,Category,SP Login,Dealer Login
DS04,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS05,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS05,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS06,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS06,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS07,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS07,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS08,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS08,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS09,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS09,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS10,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS10,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS11,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS11,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS12,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS12,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS13,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS13,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE01,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE01,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE01,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE01,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE02,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE02,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE02,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE02,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE03,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE03,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE03,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE03,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE04,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE04,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE04,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE04,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE05,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE05,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE05,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE05,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE06,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE06,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE06,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE06,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE07,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE07,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE07,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE07,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE08,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE08,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE08,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EE08,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EW01,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EW01,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EW01,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EW01,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EW02,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EW02,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EW02,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EW02,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EW03,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EW03,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
EW03,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
