Route Code,Route Name
KRI0012,"AMLAPARA"
JHL0201,"AMLAREM"
OTH0771,"AMLAREM (JAINTIA HILLS)"
WES0001,"AMLASULI"
DA02000,"AMLATOLI"
CH02644,"AMNOUR"
DIB1801,"AMOLAPATTY"
OTH0169,"AMONI"
OTH0629,"AMONI (NAGAON)"
KA02591,"AMOUR"
PUR0029,"AMOUR"
TUR3901,"AMPATI"
TURP0001,"AMPATI"
OTH0222,"AMPATI"
OTH0671,"AMPATI (TURA PLAIN)"
UDI4601,"AMPI NAGAR"
AGR0026,"AMPINAGAR"
OTH0615,"AMPINAGAR (UDAIPUR)"
BUR0154,"AMRA"
SILC0002,"AMRAGHAT"
SIL3301,"AMRAGHAT"
RA00908,"AMRAI"
RA02971,"AMRITNAGAR"
MA01020,"AMRITY"
MA01165,"AMRITY , MALDA"
MA01003,"AMRITY MORE"
KO00399,"AMTA"
SHA0003,"AMTA"
MU01455,"AMTALA"
KO20024,"AMTALA"
DA01382,"AMTALA"
KO10025,"AMTALA"
KA00312,"AMTALA"
DRP0124,"AMTALA"
BU00162,"ANADABAZAAR"
OTH0627,"ANAND TINALI (LAKHIMPUR)"
BUR0089,"ANANDABAZAR"
SHA0004,"ANANDANAGAR"
KO00400,"ANANDANAGAR"
WE00960,"ANANDAPUR"
DA02044,"ANANDPUR"
PUR0049,"ANARA"
BA00002,"ANCHURI"
RA00909,"ANDAL"
RA00910,"ANDAL SOUTH BAZAR"
NTNE077,"ANDAMAN AND NICOBAR"
SI02677,"ANDAR"
GA02297,"ANDER"
WA01992,"ANDER"
WA01851,"ANDHANA"
DA02001,"ANDHRATHADHI"
WA01883,"ANDHRWARI"
KO00401,"ANDUL"
KO00402,"ANDUL"
SHA0005,"ANDUL"
SHA0006,"ANDUL"
WA01810,"ANEILA"
SA02822,"ANGAR GHAT"
BIR0044,"ANGARGARIA"
BI00082,"ANGARGORIA"
JAL0006,"ANGRAVASA"
DH03215,"ANGWALI"
SILK0002,"ANIPUR"
SIL1101,"ANIPUR"
WA01811,"ANSARNAGAR"
WES0040,"ANTRI"
TUR3501,"ANUGURI"
TURH0001,"ANUGURI"
OTH0347,"AP - BANDERDEWA"
OTH0348,"AP - BHALUPONG"
OTH0352,"AP - LIKABALI"
OTH0345,"AP - TINSUKIA"
AALO,"AP- LEKHABALI"
MA01052,"ARA PUR1"
MA01004,"ARABINDO PARK"
MA01096,"ARAIDANGA"
TURH0002,"ARAIMAIL"
TUR2001,"ARAIMAIL"
BUR0005,"ARAMBAG"
BU00163,"ARAMBAGH"
KR00705,"ARANGHATA"
MA01019,"ARAPUR"
KIS0008,"ARARIA"
NTBH002,"ARARIA"
ARA0003,"ARARIA"
OTH0734,"ARARIA (KISHANGANJ)"
DA02002,"ARARIYA"
MAL016,"ARBAR"
DA02124,"ARER"
EA00243,"ARGOAL"
RA02871,"ARGORA"
KO00403,"ARGORI"
SHA0007,"ARGORI"
KO00489,"ARIADAHA"
KO10041,"ARIDAHA"
MA01163,"ARJUN PUR"
PUR0031,"ARJUNJORA"
MU01393,"ARJUNPUR"
KO10057,"ARJUNPUR"
OTH0626,"ARKATIPUR (SILCHAR - CACHAR)"
MA01061,"AROBINDA PARK"
OTH0729,"ARUNACHAL (SILCHAR - CACHAR)"
DUM0005,"ARWAL"
GA02414,"ARWAL"
GA02298,"ARWALMORE"
DE03047,"ASANMANI"
KR00706,"ASANNAGAR"
RA00911,"ASANSOL"
RA00912,"ASANSOL TOWN-1"
RA00913,"ASANSOL TOWN-2"
MA01005,"ASAPUR"
LA03272,"ASARGANJ"
LA03273,"ASARGANJ JALALABAD"
WES0011,"ASARI"
WA01812,"ASHANAGAR"
MAL025,"ASHAPUR"
MA01147,"ASHAPUR BAJAR"
LAX0011,"ASHARGANJ"
KR00707,"ASHARU"
DA01347,"ASHIGHAR"
DRP0089,"ASHIGHAR"
DA01377,"ASHIRGARH MORE"
MU02196,"ASHOGI BAZAR"
DA01662,"ASHOKGRAM"
KO00599,"ASHOKNAGAR"
JA01599,"ASIRGARH MORE"
KR00708,"ASSANNAGAR"
WA01813,"ASTHAWA"
BUR0127,"ASTOGORIA"
SAH0005,"ATALKHA"
GA02341,"ATAULA"
GHY6801,"ATHGAON"
GUWU0003,"ATHGAON"
PA02712,"ATHMALGOLA"
KO20047,"ATHPUR"
DH03111,"ATKA"
DA01361,"ATOL"
BUR0034,"ATPARA"
GA02323,"ATRI"
GA02402,"ATTULAH"
DH03112,"AUARA"
DA02113,"AUNSI"
DA02112,"AUNSI ZEROMILE"
MU01394,"AURANGABAD"
DUM0013,"AURANGABAD"
KO00600,"AWALSIDDHI"
OTH0364,"AWANGKHUL (MANIPUR)"
BI00083,"AYAS"
MUR0006,"AYESHBAGH"
MU01395,"AYESHBAGH"
DUM0031,"AYODHYA"
DH03146,"AZAD NAGAR"
DUM0026,"AZAMGARH"
KAT0011,"AZAMNAGAR"
KA02592,"AZAMNAGAR"
KAT00151,"AZAMNAGAR"
GHY1701,"AZARA"
GUWU0004,"AZARA"
OTH0164,"AZARA"
OTH0424,"AZARA (GUWAHATI URBAN)"
MU01396,"AZIMGUNJ"
UDI1601,"B.C.NAGAR"
MA01006,"B.S.ROAD"
GAY0010,"BAANKE BAJAR"
SA02294,"BABHTIYAHI"
SUP0046,"BABHTIYAHI"
MA01181,"BABLA, MALDA"
MA01171,"BABU PUR"
DA02003,"BABUBARHI"
DH03153,"BABUDIH"
PUR0060,"BABUGRAM"
DA01263,"BABUPARA"
DRP0005,"BABUPARA"
MU01397,"BABUPUR"
CO01459,"BABURHAT"
LA03253,"BACHAIR JAMUI"
BE02570,"BACHAWARA"
BE025701,"BACHHWARA"
KO00404,"BACHRI"
SHA0008,"BACHRI"
BE02527,"BACHWARA"
KO20019,"BADAR ROAD"
SIL0101,"BADARPUR"
NDL002,"BADARPUR"
SILK0003,"BADARPUR"
OTH0148,"BADARPUR"
B004DUM01,"BADARPUR (SCL)"
OTH0722,"BADARPUR (TOWN) (SILCHAR - KARIMGANJ)"
SILK0004,"BADARPUR 1"
SIL0901,"BADARPUR 1"
OTH0286,"BADARPURGHAT"
OTH0659,"BADARPURGHAT (SILCHAR - HAILAKANDI)"
GA02361,"BADAUWAN"
DH03092,"BADDIHA"
DA02053,"BADH POKHAR"
OTH0318,"BADHARGHAT"
LA03229,"BADHAUNA"
DE03018,"BADIA MORE"
LA03230,"BADIBAYJAMUI"
RA02955,"BADKAGAON"
GA02412,"BADKAGAW"
KR00709,"BADKULLA"
KR00701,"BADKULLA"
GA02427,"BADRA"
BUR0136,"BADSAHI ROAD"
KO00490,"BADU"
KO00601,"BADU"
KO00602,"BADU ROAD"
BU00164,"BADULIA"
KO00603,"BADURIA"
OTH0288,"BAGAFA"
UDI1701,"BAGAFA"
OTH0665,"BAGAFA (UDAIPUR)"
KRI0002,"BAGANCHRA"
SHA0009,"BAGANDA"
KO00405,"BAGANDA"
MA01104,"BAGBARI"
TA03373,"BAGBERA"
KR00710,"BAGCHIR BAGAN"
JOR0101,"BAGCHUNG"
JOR0201,"BAGCHUNG 1"
KO00698,"BAGDA"
KR00711,"BAGDA"
TEZ0003,"BAGDALGURI"
KR00712,"BAGDIA"
DA01264,"BAGDOGRA"
DRH0006,"BAGDOGRA"
NTWB033,"BAGDOGRA"
DRP0006,"BAGDOGRA"
BI00084,"BAGDOLA"
BE02551,"BAGDOV"
DA01646,"BAGDUAR"
GA02299,"BAGESHWARI"
KAL0009,"BAGHAJATIN"
GUWU0005,"BAGHARBARI"
GHY5201,"BAGHARBARI"
KO00491,"BAGHBAZAR"
OTH0014,"BAGHJAN"
OTH0082,"BAGHJAN (NT)"
TURH0003,"BAGHMARA"
BISW0002,"BAGHMARA"
OTH0223,"BAGHMARA"
TUR2101,"BAGHMARA"
TEZ0301,"BAGHMARA"
OTH0081,"BAGHMARA (NT)"
OTH0319,"BAGHMARI"
SA02818,"BAGHOPUR"
WA01814,"BAGI BARDIHA"
KA00313,"BAGIRHAT"
KO00604,"BAGJOLA"
DA01670,"BAGLAPARA"
OTH0214,"BAGMA"
KR00713,"BAGMARA"
KO00406,"BAGNAN"
SHA0010,"BAGNAN"
DH03110,"BAGODAR"
WA01826,"BAGODAR MARKET"
JAL0018,"BAGRAKOT"
DRH0170,"BAGRAKOT - DARJEELING"
DRJ0039,"BAGRAKOT - DARJEELING"
DRP0170,"BAGRAKOT - DARJEELING"
JAL0014,"BAGRAKOTE"
LOWO0068,"BAGRIBARI"
GUWR0004,"BAGTA"
GHY0002,"BAGTA"
BIR0001,"BAGTORE"
KO00492,"BAGUIATI"
KO00493,"BAGUIATI-1"
KO156,"BAGUIHATI"
KO10056,"BAGUIHATI"
KR00714,"BAGULA"
MA01075,"BAHAARAL"
DIB0040,"BAHADUR CHARIALI"
