Destination Code,Destination Name
DES10594,"AGARTALA DUMP 1"
DES10595,"AGARTALA DUMP 1"
DES10601,"AGARTALA DUMP 1"
DES10602,"AGARTALA DUMP 1"
DES10603,"AGARTALA DUMP 1"
DES10606,"AGARTALA DUMP 1"
DES10607,"AGARTALA DUMP 1"
DES10608,"AGARTALA DUMP 1"
DES10609,"AGARTALA DUMP 1"
DES10610,"AGARTALA DUMP 1"
DES10611,"AGARTALA DUMP 1"
DES10612,"AGARTALA DUMP 1"
DES10613,"AGARTALA DUMP 1"
DES10614,"AGARTALA DUMP 1"
DES10615,"AGARTALA DUMP 1"
DES10617,"AGARTALA DUMP 1"
DES10618,"AGARTALA DUMP 1"
DES10619,"AGARTALA DUMP 1"
DES10620,"AGARTALA DUMP 1"
DES10622,"AGARTALA DUMP 1"
DES10623,"AGARTALA DUMP 1"
DES10624,"AGARTALA DUMP 1"
DES10626,"AGARTALA DUMP 1"
DES10628,"AGARTALA DUMP 1"
DES10629,"AGARTALA DUMP 1"
DES10630,"AGARTALA DUMP 1"
DES10631,"AGARTALA DUMP 1"
DES10648,"AGARTALA DUMP 1"
DES10652,"AGARTALA DUMP 1"
DES10655,"AGARTALA DUMP 1"
DES10661,"AGARTALA DUMP 1"
DES10666,"AGARTALA DUMP 1"
DES01597,"AGARTALA VIA TELIAMURA"
DES00263,"AGIA (LA)"
DES07259,"Agomoni"
DES00264,"AGOMONI - AGOMONI"
DES00265,"AGOMONI - BELGURI"
DES00266,"AGOMONI - BINACHARA"
DES00267,"AGOMONI - BOTERHAT"
DES00268,"AGOMONI - HALAKURA"
DES00269,"AGOMONI - HARIGHAT"
DES00270,"AGOMONI - LOHAJANI"
DES00271,"AGOMONI - RATIADAHA"
DES00272,"AGOMONI - SAGOLIA"
DES00273,"AGOMONI - SATRASAL"
DES00274,"AGOMONI - SONAHAT"
DES00275,"AGOMONI 1 - KHERBARI"
DES07260,"Agradwip"
DES04075,"AGRADWIP EX BURDWAN"
DES05479,"AGRASEN RD."
DES10331,"AHAMADPUR"
DES03900,"AHAMEDPUR (EX- SAITHIA)"
DES07261,"AHAMMADPUR"
DES05545,"AHIRON"
DES07262,"AHIRON (Ex BEHRM)"
DES07264,"AHIRON(EX RAGHUNATHGANJ)"
DES07263,"AHIRON(EX- BERHAMPORE)"
DES05593,"AHURA"
DES07265,"AHURA (Ex Malda)"
DES01641,"AIBAWK"
DES07266,"Aibawk (Frm Aiz)"
DES05594,"AIHYO"
DES07267,"AIHYO (EX-MALDA)"
DES07268,"AINAKHAL"
DES07270,"AIRA(EX RAGHUNATHGANJ)"
DES07269,"AIRA(EX- BERHAMPORE)"
DES07271,"AIRKATA (LA)"
DES07272,"AIRPORT"
DES03802,"AIRPORT (EX- COSPR)"
DES07273,"AIRPORT (GHY)"
DES07274,"AISHMALI"
DES04262,"AISHMALI(EX KNJ)"
DES01642,"AIZWAL"
DES07275,"AIZWAL (Frm Aiz)"
DES01643,"AIZWAL DUMP"
DES07276,"Ajapur"
DES04076,"AJAPUR EX BURDWAN"
DES00003,"AJARA"
DES10320,"AJARBARI (MGN)"
DES07278,"AJIMGANJ / MAHINAGAR(EX RAGHUNATHGANJ)"
DES07277,"AJIMGANJ / MAHINAGAR(EX- BERHAMPORE)"
DES07279,"Ajodhya"
DES04664,"AJODHYA EX BANKURA"
DES07280,"AJODYAPUR"
DES04538,"AJODYAPUR (EX MDNP)"
DES07281,"AKAIPUR"
DES04263,"AKAIPUR (EX KNJ)"
DES01173,"AKAJAN (NLP)"
DES03781,"AKASHI MOD EX SIWAN"
DES07282,"AKBARPUR"
DES03272,"AKBARPUR (EX WARS)"
DES07283,"AKHIRA"
DES03902,"AKHIRA (EX-SAITHIA)"
DES00276,"AKHRA CHOCK"
DES07284,"AKHRA CHOWK"
DES07285,"Akna"
DES04390,"AKNA ( EX MOGRA)"
DES05022,"AKRAR HAT"
DES10421,"AKRAR HAT (SATMILE)"
DES05120,"AKRARHAT"
DES07286,"AKRARHAT(GOSAIRHAT)"
DES07287,"Akui"
DES07288,"AKUI (BNK)"
DES04665,"AKUI EX BANKURA"
DES04077,"AKUI EX BURDWAN"
DES03901,"AKUPURCHATI (EX-SAITHIA)"
DES07290,"AKURA(EX RAGHUNATHGANJ)"
DES07289,"AKURA(EX- BERHAMPORE)"
DES07291,"ALAIPUR"
DES04264,"ALAIPUR (EX KNJ)"
DES05595,"ALAL"
DES07292,"ALAL (Ex Malda)"
DES05596,"ALAM PUR"
DES07293,"ALAM PUR (Ex Malda)"
DES07294,"Alamgang"
DES04078,"ALAMGANG EX BURDWAN"
DES00277,"ALAMGANJ, DHUBRI"
DES07295,"ALAMGIRI"
DES04539,"ALAMGIRI (EX MDNP)"
DES03180,"ALAMNAGAR"
DES07296,"ALAMNAGAR (EX-SAHARSHA)"
DES03195,"ALAMNAGAR EX SAHARSHA"
DES07297,"ALANKARPUR"
DES04540,"ALANKARPUR (EX MDNP)"
DES02631,"ALAULI"
DES03625,"ALAULI EX KHAGARIA"
DES10760,"ALENGMORA (JHT RLY)"
DES10783,"ALENGMORA (JHT RLY)"
DES10785,"ALENGMORA (JHT RLY)"
DES10787,"ALENGMORA (JHT RLY)"
DES10789,"ALENGMORA (JHT RLY)"
DES11129,"ALENGMORA (JHT RLY)"
DES01694,"ALGABAZAR"
DES07298,"ALGAPUR"
DES01695,"ALGAPUR - ALGAPUR"
DES01696,"ALGAPUR - ALGAPUR TIMUKA"
DES01697,"ALGAPUR - CIPRASANGAN"
DES01698,"ALGAPUR - GULALIA BAZAR"
DES01699,"ALGAPUR - JANKIBAZAR"
DES01700,"ALGAPUR - MOHONPUR"
DES01701,"ALGAPUR - UTTAR NARAYANPUR"
DES07299,"ALGAPUR TIMUKA"
DES00924,"ALICHINGA (TEZ)"
DES02964,"ALIGANG(EX LAKHISARAI)"
DES03273,"ALIGANJ (EX WARS)"
DES02969,"ALIGANJ(EX LAKHISARAI)"
DES03903,"ALIGARARH (EX-SAITHIA)"
DES01476,"ALIMUR (DIB)"
DES03367,"ALINAGAR (EX DARBHANGA)"
DES07300,"ALIPORE"
DES04006,"ALIPORE (EX-KALIGHAT)"
DES04952,"ALIPUR JUNCTION (NCB)"
DES07301,"ALIPUR JUNCTION(NCB)"
DES05266,"ALIPURDUAR"
DES04951,"ALIPURDUAR COURT (NCB)"
DES07302,"ALIPURDUAR COURT(NCB)"
DES04950,"ALIPURDUAR(NCB)"
DES07303,"ALIPURDWAR (JAL)"
DES05267,"ALIPURDWAR(JAL)"
DES05219,"ALLARBARI"
DES00278,"ALLIA (LA)"
DES07304,"ALOKA"
DES04219,"ALOKA (EX-DANKUNI)"
DES11217,"ALOKJHARI"
DES05211,"ALOKJHORA"
DES02606,"ALOULI (EX BARAUNI)"
DES02614,"ALOULI (EX- BGSRI)"
DES02937,"ALTA"
DES07306,"ALUGRAM(EX RAGHUNATHGANJ)"
DES07305,"ALUGRAM(EX- BERHAMPORE)"
DES10447,"ALUKHUNDA"
DES11146,"ALUKHUNDA (LA)"
DES10803,"ALUKHUNDA (LA)"
DES02864,"AMADABAD(SALMARI) (EX KATIHAR)"
DES03904,"AMAIPUR (EX-SAITHIA)"
DES07307,"AMALA"
DES00688,"AMANI"
DES07308,"Amarkanan"
DES04666,"AMARKANAN EX BANKURA"
DES01598,"AMARPUR (AGT)"
DES03022,"AMARPUR (EX NAUGACHIA)"
DES02709,"AMARPUR(EX BHAGALPUR)"
DES07309,"AMARSHI"
DES04541,"AMARSHI (EX MDNP)"
DES07310,"Amarun"
DES04079,"AMARUN EX BURDWAN"
DES07311,"AMARUT"
DES03274,"AMARUT (EX WARS)"
DES02774,"AMARUT (G T ROAD) (EX GAYA)"
DES02775,"AMAS (G T ROAD) (EX GAYA)"
DES00925,"AMBACHOWK (DRNG)"
DES06335,"AMBAGAN"
DES00689,"AMBAGAN (NGN)"
DES07312,"AMBARI"
DES01618,"AMBASA"
DES07313,"AMBIKANAGAR"
DES04667,"AMBIKANAGAR EX BANKURA"
DES07314,"AMDANGA"
DES03803,"AMDANGA (EX- COSPR)"
DES07315,"AMERIKA BIGHA"
DES03275,"AMERIKA BIGHA (EX WARS)"
DES01416,"AMGUDI"
DES05997,"AMGURI"
DES01417,"AMGURI - AMGURI"
DES01418,"AMGURI - HALUATING"
DES01419,"AMGURI - JAMUGURI"
DES01420,"AMGURI - JHANJI"
DES03589,"AMI EX CHAPRA"
DES07316,"AMINGAON"
